ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0000940400-26-007516	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-004215	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000940400-26-007531	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002071691-26-004231	0000355916	BlackRock Variable Series Funds, Inc.	811-03290	5493007IJN5JRPJ1DF61	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-26-004230	0000355916	BlackRock Variable Series Funds, Inc.	811-03290	5493007IJN5JRPJ1DF61	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-26-004219	0001738072	BlackRock Variable Series Funds II, Inc.	811-23346	549300CYYTFFNBNORE26	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000940400-26-007534	0001221845	BlackRock Allocation Target Shares	811-21457	549300R5YFYF3PL2MC94	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-26-004227	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000940400-26-007530	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0002048251-26-001547	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001555	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0000894189-26-006737	0000030126	RMB Investors Trust	811-00994	549300570F7FXT1I1D59	One North Wacker Drive	Suite 3500	Chicago	US-IL	US	60606	800-462-2392
0001193125-26-081439	0001830921	Aspiriant Real Assets Fund	811-23616	2549008XM0CM21URLR65	235 West Galena Street		Milwaukee	US-WI	US	53212	4142992270
0002048251-26-001557	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001553	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001556	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001565	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001542	0001593547	ADVISORS' INNER CIRCLE III	811-22920	549300TG800HOPJVWT31	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0002048251-26-001541	0000890540	ADVISORS' INNER CIRCLE FUND II	811-07102	549300OEHDTB2ALCAX69	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0002048251-26-001567	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001564	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001568	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001566	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001573	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001570	0001547576	Krane Shares Trust	811-22698	2549008E1DI99JHCCA80	280 Park Ave	32nd Floor	NEW YORK	US-NY	US	10017	2129330393
0002048251-26-001577	0001593547	ADVISORS' INNER CIRCLE III	811-22920	549300TG800HOPJVWT31	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0000894189-26-006856	0001504079	GPS Funds II	811-22486	549300EMT7QA1K47T038	1655 Grant Street	10th Floor	Concord	US-CA	US	94520	800-664-5345
0000894189-26-006854	0001504079	GPS Funds II	811-22486	549300EMT7QA1K47T038	1655 Grant Street	10th Floor	Concord	US-CA	US	94520	800-664-5345
0002048251-26-001662	0001593547	ADVISORS' INNER CIRCLE III	811-22920	549300TG800HOPJVWT31	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0002048251-26-001582	0001593547	ADVISORS' INNER CIRCLE III	811-22920	549300TG800HOPJVWT31	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0002048251-26-001663	0000890540	ADVISORS' INNER CIRCLE FUND II	811-07102	549300OEHDTB2ALCAX69	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0000940400-26-007564	0001561785	FIRST TRUST EXCHANGE-TRADED FUND VII	811-22767	549300ESI5HR7KPXFL47	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	(630) 765-8000
0000940400-26-007565	0001552740	First Trust Exchange-Traded Fund VI	811-22717	549300ZLB3EUU3H8NE60	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0002071691-26-004263	0001738072	BlackRock Variable Series Funds II, Inc.	811-23346	549300CYYTFFNBNORE26	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000940400-26-007580	0001552740	First Trust Exchange-Traded Fund VI	811-22717	549300ZLB3EUU3H8NE60	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0002071691-26-004264	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001410368-26-017936	0000778207	TRANSAMERICA SERIES TRUST	811-04419	5493000QR1WGXIM5V222	1801 CALIFORNIA STREET	SUITE 5200	DENVER	US-CO	US	80202	720-493-4256
0001410368-26-017952	0000778207	TRANSAMERICA SERIES TRUST	811-04419	5493000QR1WGXIM5V222	1801 CALIFORNIA STREET	SUITE 5200	DENVER	US-CO	US	80202	720-493-4256
0001410368-26-017953	0000778207	TRANSAMERICA SERIES TRUST	811-04419	5493000QR1WGXIM5V222	1801 CALIFORNIA STREET	SUITE 5200	DENVER	US-CO	US	80202	720-493-4256
0001410368-26-017981	0000778207	TRANSAMERICA SERIES TRUST	811-04419	5493000QR1WGXIM5V222	1801 CALIFORNIA STREET	SUITE 5200	DENVER	US-CO	US	80202	720-493-4256
0001410368-26-017961	0000778207	TRANSAMERICA SERIES TRUST	811-04419	5493000QR1WGXIM5V222	1801 CALIFORNIA STREET	SUITE 5200	DENVER	US-CO	US	80202	720-493-4256
0000940400-26-007631	0001552740	First Trust Exchange-Traded Fund VI	811-22717	549300ZLB3EUU3H8NE60	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0000940400-26-007648	0001552740	First Trust Exchange-Traded Fund VI	811-22717	549300ZLB3EUU3H8NE60	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0000940400-26-007643	0001364608	First Trust Exchange-Traded Fund II	811-21944	549300HY3NFBU00W8S30	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001413042-26-000130	0001103243	PFS FUNDS	811-09781	549300QPH5FGDXI8HN15	1939 FRIENDSHIP DRIVE STE C		EL CAJON	US-CA	US	92020	619-588-9700
0001049169-26-000337	0001499857	MORGAN CREEK GLOBAL EQUITY LONG/SHORT INSTITUTIONAL FUND	811-22461	549300IRIJ5TBU8V3T78	301 WEST BARBEE CHAPEL ROAD SUITE 200		CHAPEL HILL	US-NC	US	27517	9199334004
0000894189-26-005016	0001848758	NEOS ETF Trust	811-23645	549300Q4QMDLLFX8BQ98	13 Riverside Avenue		Westport	US-CT	US	06880	203-298-7300
0000894189-26-005030	0001848758	NEOS ETF Trust	811-23645	549300Q4QMDLLFX8BQ98	13 Riverside Avenue		Westport	US-CT	US	06880	203-298-7300
0000894189-26-009760	0001540305	ETF Series Solutions	811-22668	5493008BB0X0GYS3UI50	615 E Michigan Street		Milwaukee	US-WI	US	53202	414-516-1645
0001410368-26-033731	0001860434	Harbor ETF Trust	811-23661	549300NWWMUBG8UZZ226	111 SOUTH WACKER DRIVE	34th Floor	CHICAGO	US-IL	US	60606	312-443-4400
0000940400-26-012051	0001099692	Prudential Investment Portfolios 2	811-09999	54930073VH97GP26HU49	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-012048	0000741350	Prudential World Fund, Inc.	811-03981	5493003FFF3WYM74WH03	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0001099263-26-000763	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-26-000776	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-26-000772	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-26-000775	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-26-000784	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-26-000781	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001099263-26-000780	0001177017	T. ROWE PRICE RETIREMENT FUNDS, INC.	811-21149	549300NPW1X3GQMKCN90	1307 Point Street		Baltimore	US-MD	US	21231	410-345-2000
0001193125-26-024697	0000746458	American Century Municipal Trust	811-04025	549300LWE02C3N77TY25	4500 Main St		Kansas City	US-MO	US	64111	816-531-5575
0000940400-26-002792	0001845809	Putnam ETF Trust	811-23643	549300EMFKH8ETCKNO35	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0000910472-26-000653	0001518042	NORTHERN LIGHTS FUND TRUST II	811-22549	549300TH7YXW5G2QY588	225 PICTORIA DRIVE	SUITE 450	CINCINNATI	US-OH	US	45246	631-470-2600
0000940400-26-002781	0001503123	DBX ETF Trust	811-22487	DNLQXYGHEZ10Q9SIK386	875 Third Avenue		New York	US-NY	US	10022-6225	212-454-4500
0000940400-26-002780	0001845809	Putnam ETF Trust	811-23643	549300EMFKH8ETCKNO35	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0000940400-26-002801	0001727074	PGIM ETF Trust	811-23324	549300OXS91LYTDQF355	655 Broad Street		Newark	US-NJ	US	07102-4077	888-247-8090
0000940400-26-002785	0001845809	Putnam ETF Trust	811-23643	549300EMFKH8ETCKNO35	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0000940400-26-002798	0001727074	PGIM ETF Trust	811-23324	549300OXS91LYTDQF355	655 Broad Street		Newark	US-NJ	US	07102-4077	888-247-8090
0000940400-26-002819	0000356683	Prudential Jennison Blend Fund, Inc.	811-03336	549300XFO0KJCHFE2670	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-002808	0000746518	Prudential Investment Portfolios 6	811-04024	549300X7VX2VDP0UEH85	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-002796	0001727074	PGIM ETF Trust	811-23324	549300OXS91LYTDQF355	655 Broad Street		Newark	US-NJ	US	07102-4077	888-247-8090
0000940400-26-002817	0000803191	Prudential Investment Portfolios 7	811-04864	549300OHKEILL3L4Z613	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-002800	0000278187	Prudential Investment Portfolios, Inc. 15	811-02896	5493004GW6X6EIMPJD18	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-002815	0000807394	Prudential Investment Portfolios 4	811-04930	549300W5ICYQ5O9FF145	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0001193125-26-074372	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074392	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074397	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074396	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001410368-26-018304	0000081443	AB CAP FUND, INC.	811-01716	549300I24E20QB4B6Y20	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001193125-26-074394	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074399	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074414	0001818105	NB Private Markets Access Fund LLC	811-23591	549300TTMKGCMVMDG956	1290 Avenue of the Americas 		New York 	US-NY	US	10104	2124768800
0001193125-26-074389	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001193125-26-074384	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001410368-26-018302	0000081443	AB CAP FUND, INC.	811-01716	549300I24E20QB4B6Y20	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-26-018307	0001653463	Bernstein Fund Inc	811-23100	549300BSKYB4K1O0CM24	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-26-018305	0000081443	AB CAP FUND, INC.	811-01716	549300I24E20QB4B6Y20	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-26-018310	0000081443	AB CAP FUND, INC.	811-01716	549300I24E20QB4B6Y20	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001193125-26-074398	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001410368-26-018311	0000832808	BERNSTEIN SANFORD C FUND INC	811-05555	549300GA5IHQHIM7CU60	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001193125-26-074391	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300SU7ER9OFETRU41	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001410368-26-018309	0000081443	AB CAP FUND, INC.	811-01716	549300I24E20QB4B6Y20	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-26-018301	0000920701	AB SUSTAINABLE INTERNATIONAL THEMATIC FUND INC	811-08426	549300N0VE6F056LTL63	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-26-018315	0000832808	BERNSTEIN SANFORD C FUND INC	811-05555	549300GA5IHQHIM7CU60	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-26-018319	0000832808	BERNSTEIN SANFORD C FUND INC	811-05555	549300GA5IHQHIM7CU60	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0001410368-26-018314	0001543188	AB Multi-Manager Alternative Fund	811-22671	549300T61CGR083RUB42	ALLIANCEBERNSTEIN LP	66 Hudson Boulevard East	NEW YORK	US-NY	US	10001	212-969-1000
0000940400-26-007094	0000877880	SIT MUTUAL FUNDS INC	811-06373	254900G3NOOZ0B3T2Q46	80 S. Eighth Street	Suite 3300	Minneapolis	US-MN	US	55402	612-332-3223
0000940400-26-008513	0000810016	Ivy Variable Insurance Portfolios	811-05017	72XHPUAYSOH6ROSGJT53	100 Independence	610 Market Street	Philadelphia	US-PA	US	19106	215-255-1200
0000940400-26-009027	0001655589	Franklin Templeton ETF Trust	811-23124	549300UHXVPT5S43XV04	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0000940400-26-009020	0000887991	Prudential Investment Portfolios 8	811-06677	549300VRUTQ35U0X1D46	655 Broad Street		Newark	US-NJ	US	07102-4077	1-800-225-1852
0000940400-26-009018	0001655589	Franklin Templeton ETF Trust	811-23124	549300UHXVPT5S43XV04	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0000940400-26-009028	0001655589	Franklin Templeton ETF Trust	811-23124	549300UHXVPT5S43XV04	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0000910472-26-003374	0000357204	Segall Bryant & Hamill Trust	811-03373	549300D12PXTPNG46V56	225 Pictoria Drive	Suite 450	Cincinnati	US-OH	US	45246	513-587-3400
0001193125-26-082254	0001643838	Trailmark Series Trust	811-23089	549300DLQCPJDIAVGK24	3000 Auburn Drive	Suite 410	Beachwood	US-OH	US	44122	216-329-4271
0000940400-26-009013	0000882443	AMG Funds I	811-06520	549300SY4O1O812XWI71	680 Washington Blvd.	Suite 500	Stamford	US-CT	US	06901	800-548-4539
0000896435-26-000167	0000896435	AIM Variable Insurance Funds (Invesco Variable Insurance Funds)	811-07452	FC4UULIMJMGKBDUARB13	11 Greenway Plaza	Suite 1000	Houston	US-TX	US	77046-1173	800-959-4246
0000910472-26-003383	0000357204	Segall Bryant & Hamill Trust	811-03373	549300D12PXTPNG46V56	225 Pictoria Drive	Suite 450	Cincinnati	US-OH	US	45246	513-587-3400
0001410368-26-020715	0001126087	Brighthouse Funds Trust I	811-10183	549300LQX1AREJYGF247	Brighthouse Investment Advisers, LLC	11225 North Community House Road	Charlotte	US-NC	US	28277	980-949-5089
0001410368-26-020731	0000710826	Brighthouse Funds Trust II	811-03618	549300NPPA08K2CWOV06	Brighthouse Investment Advisers, LLC	11225 North Community House Road	Charlotte	US-NC	US	28277	980-949-5089
0000940400-26-009081	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001410368-26-020742	0001126087	Brighthouse Funds Trust I	811-10183	549300LQX1AREJYGF247	Brighthouse Investment Advisers, LLC	11225 North Community House Road	Charlotte	US-NC	US	28277	980-949-5089
0001410368-26-020754	0001126087	Brighthouse Funds Trust I	811-10183	549300LQX1AREJYGF247	Brighthouse Investment Advisers, LLC	11225 North Community House Road	Charlotte	US-NC	US	28277	980-949-5089
0000940400-26-009091	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0000940400-26-009093	0000837276	Voya Investors Trust	811-05629	549300LPMGZECCP9KQ67	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-366-0066
0000940400-26-009084	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0000940400-26-009102	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0000940400-26-009110	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0000940400-26-002949	0001350487	WisdomTree Trust	811-21864	549300SEVJBU47TE8855	250 WEST 34TH STREET	3RD FLOOR	NEW YORK	US-NY	US	10119	866-909-9473
0000940400-26-002941	0001350487	WisdomTree Trust	811-21864	549300SEVJBU47TE8855	250 WEST 34TH STREET	3RD FLOOR	NEW YORK	US-NY	US	10119	866-909-9473
0000940400-26-002951	0001350487	WisdomTree Trust	811-21864	549300SEVJBU47TE8855	250 WEST 34TH STREET	3RD FLOOR	NEW YORK	US-NY	US	10119	866-909-9473
0000894189-26-003311	0000897802	Special Opportunities Fund, Inc.	811-07528	549300DGAJTGM6R4HK03	250 Pehle Avenue	Suite 708	Saddle Brook	US-NJ	US	07663	877-607-0414
0000894189-26-003688	0000796227	Provident Mutual Funds, Inc.	811-04722	549300HFVT1R7IND6V45	N16 W23217 Stone Ridge Drive	Suite 310	Waukesha	US-WI	US	53188	855-739-9950
0001410368-26-012107	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0001410368-26-012117	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0001410368-26-012119	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0001410368-26-012121	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0001410368-26-012123	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0001410368-26-012124	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0001410368-26-012126	0000806633	WASATCH FUNDS TRUST	811-04920	549300B3CBVFTLZDYP46	505 WAKARA WAY	SUITE 300	SALT LAKE CITY	US-UT	US	84108	801-533-0777
0000894189-26-003744	0001023391	FMI Funds Inc	811-07831	549300LLBZ5DPX7B5F83	790 North Water Street	Suite 2100	Milwaukee	US-WI	US	53202	414-226-4545
0000894189-26-003825	0001282693	Baird Funds Inc	811-09997	5493007JR2NWYBC7PO06	777 East Wisconsin Avenue		Milwaukee	US-WI	US	53202	4147653614
0000894189-26-003831	0001282693	Baird Funds Inc	811-09997	5493007JR2NWYBC7PO06	777 East Wisconsin Avenue		Milwaukee	US-WI	US	53202	4147653614
0000894189-26-003837	0001282693	Baird Funds Inc	811-09997	5493007JR2NWYBC7PO06	777 East Wisconsin Avenue		Milwaukee	US-WI	US	53202	4147653614
0000894189-26-003826	0001282693	Baird Funds Inc	811-09997	5493007JR2NWYBC7PO06	777 East Wisconsin Avenue		Milwaukee	US-WI	US	53202	4147653614
0001410368-26-012594	0000766351	Securian Funds Trust	811-04279	549300J5E2OE7HWZ1521	400 N ROBERT ST		ST PAUL	US-MN	US	55101	651-665-3500
0001410368-26-012962	0001668512	Guardian Variable Products Trust	811-23148	549300S9PVDT6IL3OT03	10 Hudson Yards		NEW YORK	US-NY	US	10001	212-598-8000
0001410368-26-012965	0001668512	Guardian Variable Products Trust	811-23148	549300S9PVDT6IL3OT03	10 Hudson Yards		NEW YORK	US-NY	US	10001	212-598-8000
0001410368-26-012983	0001668512	Guardian Variable Products Trust	811-23148	549300S9PVDT6IL3OT03	10 Hudson Yards		NEW YORK	US-NY	US	10001	212-598-8000
0001410368-26-012985	0001668512	Guardian Variable Products Trust	811-23148	549300S9PVDT6IL3OT03	10 Hudson Yards		NEW YORK	US-NY	US	10001	212-598-8000
0001410368-26-013131	0000813900	PACIFIC SELECT FUND	811-05141	549300KH2YJL0X2VEL27	700 NEWPORT CTR DR	P O BOX 7500	NEWPORT BEACH	US-CA	US	92660	949-219-3233
